Station,Year,Month,Day,Hour,Temperature (°C),Wet Bulb Temperature (°C),Dew Point Temperature (°C),RH (%),Scalar Mean Wind Direction (°),Scalar Mean Wind Speed (m/s),SLP (hPa)
S44,2011,8,15,22,24.4,—,22.8,90.7,39,2,—
S44,2011,8,15,23,24.5,—,22.4,88,39,1.8,—
S44,2011,8,15,24,24.4,—,23,91.9,28,2.1,—
S44,2011,8,16,1,24.2,—,23.1,93.7,354,1.7,—
S44,2011,8,16,2,24.1,—,23,93.4,336,1.8,—
S44,2011,8,16,3,24.2,—,22.4,89.6,9,1.5,—
S44,2011,8,16,4,23.7,—,22.7,93.6,30,2.2,—
S44,2011,8,16,5,23.9,—,21.7,87.5,30,2.1,—
S44,2011,8,16,6,23.9,—,21.7,87.6,23,2.3,—
S44,2011,8,16,7,24.3,—,21.6,85,20,1.8,—
S44,2011,8,16,8,25.3,—,21.9,81.4,26,1.9,—
S44,2011,8,16,9,25.7,—,22.7,83.3,15,1.3,—
S44,2011,8,16,10,28,—,23.5,76.7,20,0.9,—
S44,2011,8,16,11,29.2,—,20.6,59.9,127,2,—
S44,2011,8,16,12,29.5,—,20.2,57.5,131,1.9,—
S44,2011,8,16,13,30.6,—,19.2,50.9,140,1.7,—
S44,2011,8,16,14,31.5,—,18.5,46.1,146,1.4,—
S44,2011,8,16,15,31.8,—,20,49.5,167,1.4,—
S44,2011,8,16,16,31.6,—,20.7,52.8,183,1.6,—
S44,2011,8,16,17,29.7,—,21.3,60.8,129,2.5,—
S44,2011,8,16,18,29.3,—,19.6,56,127,2.1,—
S44,2011,8,16,19,28.7,—,21.4,64.6,122,2,—
S44,2011,8,16,20,28.5,—,21.9,67.6,123,2.4,—
S44,2011,8,16,21,28.2,—,22.4,70.7,123,1.8,—
S44,2011,8,16,22,28,—,22.8,73.4,117,2.7,—
S44,2011,8,16,23,27.9,—,22.8,73.7,119,2.1,—
S44,2011,8,16,24,27.5,—,22.6,74.5,116,1.5,—
S44,2011,8,17,1,27.2,—,22.8,76.8,73,0.8,—
S44,2011,8,17,2,27,—,23.1,79.4,72,0.9,—
S44,2011,8,17,3,27,—,23.1,78.9,114,2,—
S44,2011,8,17,4,26.7,—,23,80,113,1.7,—
S44,2011,8,17,5,26.5,—,23,81.1,83,1.5,—
S44,2011,8,17,6,26,—,23,83.8,31,0.6,—
S44,2011,8,17,7,26.1,—,23.2,84.4,54,0.9,—
S44,2011,8,17,8,26.6,—,23.6,83.7,7,0.8,—
S44,2011,8,17,9,27.5,—,20,63.4,85,1.6,—
S44,2011,8,17,10,26.4,—,23,81.3,304,0.9,—
S44,2011,8,17,11,29,—,22.3,67.5,322,1,—
S44,2011,8,17,12,30.3,—,19.2,51.6,358,0.9,—
S44,2011,8,17,13,31.6,—,19.3,48.2,166,1.1,—
S44,2011,8,17,14,31.6,—,18.2,44.8,120,1.7,—
S44,2011,8,17,15,31.6,—,19,47.5,142,2.4,—
S44,2011,8,17,16,29.6,—,20.3,57.6,169,1.8,—
S44,2011,8,17,17,28.3,—,22.3,70.3,121,2.8,—
S44,2011,8,17,18,28.3,—,21,64.7,127,2.1,—
S44,2011,8,17,19,28,—,20.4,63.1,132,1.4,—
S44,2011,8,17,20,27.6,—,21.1,67.8,127,1.7,—
S44,2011,8,17,21,27.5,—,20.5,65.7,130,1.8,—
S44,2011,8,17,22,27.2,—,20.3,65.7,137,1.1,—
S44,2011,8,17,23,27,—,21.2,70.7,132,0.7,—
S44,2011,8,17,24,26.9,—,21.2,70.9,137,0.9,—
S44,2011,8,18,1,26.8,—,20.9,70.4,129,1.9,—
S44,2011,8,18,2,26.7,—,20.7,69.6,118,1.6,—
S44,2011,8,18,3,25.9,—,20.8,73.3,344,1,—
S44,2011,8,18,4,26.2,—,21.8,76.6,89,1.2,—
S44,2011,8,18,5,25.9,—,22.4,80.8,111,1.5,—
S44,2011,8,18,6,25.6,—,22.4,82.3,38,0.8,—
S44,2011,8,18,7,24.8,—,22.8,88.6,25,0.8,—
S44,2011,8,18,8,25.5,—,23,85.9,40,1.1,—
S44,2011,8,18,9,27.9,—,22.3,71.8,70,1,—
S44,2011,8,18,10,28.8,—,21.4,64.6,129,2.6,—
S44,2011,8,18,11,29.4,—,21.4,62.2,126,3.1,—
S44,2011,8,18,12,30,—,20.8,58,133,2.7,—
S44,2011,8,18,13,30.6,—,21,56.5,133,1.9,—
S44,2011,8,18,14,31.3,—,19.9,50.8,155,1.5,—
S44,2011,8,18,15,32.8,—,18.6,43,151,1.7,—
S44,2011,8,18,16,31.2,—,18.4,46.8,155,1.6,—
S44,2011,8,18,17,27.9,—,21.5,68.2,88,2.1,—
S44,2011,8,18,18,27.7,—,22.1,71.7,32,1.8,—
S44,2011,8,18,19,27.4,—,22.5,74.5,34,2,—
S44,2011,8,18,20,27.4,—,22.3,73.6,43,2.1,—
S44,2011,8,18,21,27.6,—,21.3,68.7,60,0.9,—
S44,2011,8,18,22,27.7,—,21.6,69.6,52,0.8,—
S44,2011,8,18,23,27.2,—,22.1,73.3,39,0.9,—
S44,2011,8,18,24,26.9,—,22.4,76.7,39,1.5,—
S44,2011,8,19,1,26.5,—,22.9,80.8,34,1.4,—
S44,2011,8,19,2,26.3,—,23.2,82.9,31,1.1,—
S44,2011,8,19,3,26,—,23.6,86.5,38,1.5,—
S44,2011,8,19,4,25.9,—,23.5,86.7,19,0.8,—
S44,2011,8,19,5,25.5,—,23.4,88.3,34,1.2,—
S44,2011,8,19,6,25.3,—,23.3,88.5,25,1.6,—
S44,2011,8,19,7,25.6,—,23.5,88.5,356,1,—
S44,2011,8,19,8,26.4,—,23.8,85.9,39,0.7,—
S44,2011,8,19,9,28,—,22.9,73.8,119,1.5,—
S44,2011,8,19,10,28.6,—,22.9,71.5,126,2.4,—
S44,2011,8,19,11,30.2,—,22.2,62.2,121,2.1,—
S44,2011,8,19,12,30.1,—,21.2,59.2,126,2.2,—
S44,2011,8,19,13,31.5,—,21.1,54.2,126,2.3,—
S44,2011,8,19,14,31.5,—,20.4,51.9,191,1.7,—
S44,2011,8,19,15,31.7,—,21.3,54.3,179,1.5,—
S44,2011,8,19,16,30.3,—,22,61.4,187,1.7,—
S44,2011,8,19,17,29.3,—,21.5,63.2,127,3.1,—
S44,2011,8,19,18,29.3,—,22.1,65.5,120,2.6,—
S44,2011,8,19,19,29.3,—,21.6,63.2,127,2,—
S44,2011,8,19,20,28.9,—,22.1,66.6,119,3,—
S44,2011,8,19,21,28.8,—,21.3,64,122,2.6,—
S44,2011,8,19,22,28.5,—,22.5,69.9,128,1.7,—
S44,2011,8,19,23,27.8,—,22.8,74.4,70,0.9,—
S44,2011,8,19,24,27.9,—,23,74.6,92,2.2,—
S44,2011,8,20,1,27.7,—,22.9,75.2,117,2.8,—
S44,2011,8,20,2,27.5,—,23.1,76.6,117,2.7,—
S44,2011,8,20,3,27.4,—,23,76.8,119,2.4,—
S44,2011,8,20,4,27.1,—,23.3,79.4,120,2.2,—
S44,2011,8,20,5,27.1,—,23.1,78.9,118,2.2,—
S44,2011,8,20,6,27,—,23,79,124,1.8,—
S44,2011,8,20,7,27,—,23.3,80.4,127,1.8,—
S44,2011,8,20,8,27.4,—,21.8,71.6,122,2.7,—
S44,2011,8,20,9,28.1,—,21.3,66.4,120,2.9,—
S44,2011,8,20,10,28.1,—,20.7,64.4,113,2.9,—
S44,2011,8,20,11,28.4,—,20.7,62.9,119,3.1,—
S44,2011,8,20,12,29.8,—,20.6,57.9,90,2.2,—
S44,2011,8,20,13,29.3,—,21.5,63.1,65,1.5,—
S44,2011,8,20,14,30,—,21.4,60,27,2.2,—
S44,2011,8,20,15,27.2,—,21.2,70.1,27,2.1,—
S44,2011,8,20,16,29.6,—,21.1,60.5,42,1.4,—
S44,2011,8,20,17,25.7,—,21.7,78.5,238,1.7,—
S44,2011,8,20,18,24.5,—,22,86.2,316,2.7,—
S44,2011,8,20,19,24.8,—,22.1,84.7,328,2,—
S44,2011,8,20,20,24.2,—,22.1,88,316,2.4,—
S44,2011,8,20,21,24.5,—,22,86.1,338,1,—
S44,2011,8,20,22,24.4,—,22.4,88.4,330,1.4,—
S44,2011,8,20,23,24.8,—,22.2,85.9,316,2.1,—
S44,2011,8,20,24,24.5,—,22.5,88.3,321,2.4,—
S44,2011,8,21,1,24.9,—,22.1,84.6,339,1,—
S44,2011,8,21,2,25,—,22.3,85.1,323,1.4,—
S44,2011,8,21,3,24.6,—,22.4,87.4,342,1,—
S44,2011,8,21,4,24.6,—,22.4,87.3,340,1.2,—
S44,2011,8,21,5,24,—,22.3,90.3,13,1.1,—
S44,2011,8,21,6,24.5,—,22,86.2,345,1,—
S44,2011,8,21,7,24.3,—,22.1,87.8,9,0.9,—
S44,2011,8,21,8,25.1,—,21.8,82.1,4,0.9,—
S44,2011,8,21,9,27.2,—,22.4,75,343,0.5,—
S44,2011,8,21,10,27.9,—,23.1,75.4,285,0.6,—
S44,2011,8,21,11,28.9,—,21.7,65.2,221,1.2,—
S44,2011,8,21,12,30.4,—,22,61,136,1.7,—
S44,2011,8,21,13,30.5,—,20.2,54,132,1.5,—
S44,2011,8,21,14,29.8,—,21.9,62.7,129,2.3,—
S44,2011,8,21,15,30,—,20.5,56.8,127,2.3,—
S44,2011,8,21,16,30,—,20.8,57.9,117,2.3,—
S44,2011,8,21,17,30.6,—,20.7,55.8,136,2.4,—
S44,2011,8,21,18,30,—,20.9,58.3,123,2,—
S44,2011,8,21,19,29.2,—,21.8,64.3,123,1.9,—
S44,2011,8,21,20,28.8,—,22.7,69.5,119,1.7,—
S44,2011,8,21,21,28.3,—,22.9,72.6,122,2.9,—
S44,2011,8,21,22,28.1,—,22.7,72.4,124,3.1,—
S44,2011,8,21,23,27.8,—,23.1,75.6,126,2.8,—
S44,2011,8,21,24,27.7,—,23,75.7,122,2.8,—
S44,2011,8,22,1,27.5,—,23.1,77,125,2.2,—
S44,2011,8,22,2,27.4,—,23,76.5,124,2.3,—
S44,2011,8,22,3,27.3,—,23,77.2,121,1.6,—
S44,2011,8,22,4,27.2,—,22.9,77.7,122,1.1,—
S44,2011,8,22,5,27.1,—,23,78.1,120,1.7,—
S44,2011,8,22,6,27.1,—,22.9,77.9,125,2.5,—
S44,2011,8,22,7,27,—,23,78.8,126,2.8,—
S44,2011,8,22,8,27.3,—,22.8,76.5,126,2.7,—
S44,2011,8,22,9,27.9,—,22.2,71.2,129,2.3,—
S44,2011,8,22,10,28.7,—,21.7,65.9,121,2.6,—
S44,2011,8,22,11,29.7,—,21.9,63.2,128,2.9,—
S44,2011,8,22,12,30.2,—,22.2,62.3,128,1.9,—
S44,2011,8,22,13,31.4,—,20.9,53.7,150,1.6,—
S44,2011,8,22,14,30.2,—,21.7,60.5,164,2.2,—
S44,2011,8,22,15,29.8,—,21.1,59.7,135,2.3,—
S44,2011,8,22,16,30.1,—,21.8,61,126,2.3,—
S44,2011,8,22,17,29.9,—,21.1,59.4,141,1.3,—
S44,2011,8,22,18,29.5,—,21,60.2,164,1.2,—
S44,2011,8,22,19,29.3,—,20.7,59.8,151,1.3,—
S44,2011,8,22,20,28.9,—,21.6,64.5,131,2.1,—
S44,2011,8,22,21,28.3,—,22.7,71.8,129,2.3,—
S44,2011,8,22,22,28.1,—,23,73.7,125,2.9,—
S44,2011,8,22,23,27.7,—,22.9,74.9,108,1.4,—
S44,2011,8,22,24,27.6,—,22.4,73.4,103,1.6,—
S44,2011,8,23,1,27.2,—,22.5,75.2,106,1.4,—
S44,2011,8,23,2,26.4,—,22.8,80.3,31,1.4,—
S44,2011,8,23,3,26.5,—,22.6,79.1,53,0.8,—
S44,2011,8,23,4,25.9,—,22.8,83.3,35,1.8,—
S44,2011,8,23,5,25.8,—,22.9,83.8,20,1.1,—
S44,2011,8,23,6,25.6,—,23,85.3,32,1.3,—
S44,2011,8,23,7,25.6,—,23,85.4,22,1.1,—
S44,2011,8,23,8,26.4,—,23.1,82.2,31,0.8,—
S44,2011,8,23,9,28.5,—,22.1,68.2,120,1.2,—
S44,2011,8,23,10,28.8,—,22,66.6,143,1.7,—
S44,2011,8,23,11,29.3,—,22.1,65.1,148,1.3,—
S44,2011,8,23,12,30.3,—,21.5,59.6,177,1.3,—
S44,2011,8,23,13,26.8,—,22.2,75.8,268,2.3,—
S44,2011,8,23,14,27.7,—,21.2,67.7,286,2.4,—
S44,2011,8,23,15,28,—,20.3,63,276,1.9,—
S44,2011,8,23,16,30.7,—,21,56.1,287,1.5,—
S44,2011,8,23,17,29.6,—,21.4,61.5,247,2,—
S44,2011,8,23,18,29.2,—,21.7,64.3,208,1.7,—
S44,2011,8,23,19,28.8,—,22,66.6,210,1.2,—
S44,2011,8,23,20,28.3,—,22.2,69.4,144,0.9,—
S44,2011,8,23,21,28.1,—,22.3,70.9,116,2,—
S44,2011,8,23,22,27.4,—,22.8,76,48,1.3,—
S44,2011,8,23,23,27.3,—,22.8,76.5,43,1.6,—
S44,2011,8,23,24,27.2,—,22.7,76.4,49,1.1,—
S44,2011,8,24,1,26.7,—,22.3,76.6,46,1.4,—
S44,2011,8,24,2,26.1,—,23.1,83.3,42,1.8,—
S44,2011,8,24,3,26,—,23.3,85,35,2,—
S44,2011,8,24,4,26.6,—,23.1,81.2,47,1.2,—
S44,2011,8,24,5,27.2,—,22.9,77.6,123,2.5,—
S44,2011,8,24,6,27,—,23,78.8,121,2.5,—
S44,2011,8,24,7,27,—,23,78.5,117,2.5,—
S44,2011,8,24,8,27.4,—,23,76.8,124,2.4,—
S44,2011,8,24,9,28.5,—,22.6,70.5,126,2.1,—
S44,2011,8,24,10,29.2,—,22.7,67.9,128,2.9,—
S44,2011,8,24,11,29.8,—,22.1,63.5,133,2.8,—
S44,2011,8,24,12,29.3,—,22,64.7,125,2.7,—
S44,2011,8,24,13,30.4,—,22,61,124,2.6,—
S44,2011,8,24,14,31.4,—,21.3,55,158,2.2,—
S44,2011,8,24,15,31.9,—,21.5,54.1,201,1.7,—
S44,2011,8,24,16,31.4,—,21.4,55.6,157,1.7,—
S44,2011,8,24,17,31.1,—,20.5,53.2,159,1.6,—
S44,2011,8,24,18,30.1,—,19.8,53.9,122,1.7,—
S44,2011,8,24,19,29.5,—,19.8,56.1,174,1.5,—
S44,2011,8,24,20,29.1,—,20.6,59.9,137,1.5,—
S44,2011,8,24,21,28.5,—,22.3,69.5,127,2.1,—
S44,2011,8,24,22,28.1,—,22.7,72.8,125,2.6,—
S44,2011,8,24,23,28,—,22.6,72.6,126,2.6,—
S44,2011,8,24,24,27.8,—,22.2,71.6,125,2.6,—
S44,2011,8,25,1,27.7,—,22.1,71.5,125,2.4,—
S44,2011,8,25,2,27.6,—,22.2,72.6,127,2.5,—
S44,2011,8,25,3,27.4,—,22.2,73.3,125,2,—
S44,2011,8,25,4,27.3,—,22.3,74,125,2.6,—
S44,2011,8,25,5,27.1,—,22.4,75.5,129,1.8,—
S44,2011,8,25,6,26,—,23,83.9,145,1.3,—
S44,2011,8,25,7,25.5,—,23.5,88.3,325,1.9,—
S44,2011,8,25,8,26.6,—,23.1,81.2,331,1,—
S44,2011,8,25,9,25.5,—,22.8,84.9,314,2.6,—
S44,2011,8,25,10,25.7,—,21.5,77.5,313,2.4,—
S44,2011,8,25,11,26,—,22.2,79.5,233,1.9,—
S44,2011,8,25,12,28.6,—,23.7,75.1,254,1.2,—
S44,2011,8,25,13,25.5,—,23.4,88.2,219,2,—
S44,2011,8,25,14,26.7,—,22.6,78.1,210,1.7,—
S44,2011,8,25,15,28.4,—,23.1,73.2,215,3.3,—
S44,2011,8,25,16,29,—,23,70.1,208,3,—
S44,2011,8,25,17,29.3,—,20.7,60,199,2,—
S44,2011,8,25,18,29,—,21.3,63.1,192,1.5,—
S44,2011,8,25,19,28.6,—,21.6,66,151,1.4,—
S44,2011,8,25,20,28.2,—,22.9,72.9,137,1.2,—
S44,2011,8,25,21,27.9,—,23.4,76.2,128,1.5,—
S44,2011,8,25,22,27.8,—,23.6,77.6,125,1.7,—
S44,2011,8,25,23,27.9,—,22.3,71.6,122,2.8,—
S44,2011,8,25,24,27.8,—,22.4,72.6,125,2.2,—
S44,2011,8,26,1,27.6,—,22.6,74.5,124,2.3,—
S44,2011,8,26,2,27.5,—,22.7,75.2,122,2.3,—
S44,2011,8,26,3,27.5,—,22.6,74.7,120,1.9,—
S44,2011,8,26,4,24.3,—,21.9,86.3,302,2.7,—
S44,2011,8,26,5,23.8,—,22.1,90.5,313,1.8,—
S44,2011,8,26,6,23.1,—,22.2,94.6,310,4.3,—
S44,2011,8,26,7,22.8,—,22,94.9,305,2.7,—
S44,2011,8,26,8,23,—,22.1,94.8,311,2.2,—
S44,2011,8,26,9,23.5,—,22.5,93.9,316,2.6,—
S44,2011,8,26,10,24,—,22.4,90.6,309,1.4,—
S44,2011,8,26,11,25.6,—,22.9,85.4,275,0.8,—
S44,2011,8,26,12,26.5,—,22.4,78.5,229,1.3,—
S44,2011,8,26,13,26.9,—,22,74.4,206,1.4,—
S44,2011,8,26,14,26.9,—,23.3,81,226,1,—
S44,2011,8,26,15,27.1,—,22.8,77.8,256,0.7,—
S44,2011,8,26,16,26.4,—,22.5,79.3,267,0.9,—
S44,2011,8,26,17,26.4,—,23,81.7,309,1.7,—
S44,2011,8,26,18,26.3,—,22.7,80.8,317,1.4,—
S44,2011,8,26,19,26,—,22.6,81.4,328,1.2,—
S44,2011,8,26,20,25.9,—,22.5,81.7,354,1,—
S44,2011,8,26,21,25.9,—,22.6,82.5,355,0.9,—
S44,2011,8,26,22,25.5,—,23.6,89.2,321,1.6,—
S44,2011,8,26,23,25.4,—,23.1,87.4,315,2,—
S44,2011,8,26,24,25.1,—,23.3,89.5,313,1.8,—
S44,2011,8,27,1,24.9,—,23.1,89.9,316,2.1,—
S44,2011,8,27,2,24.9,—,23,89.1,315,2.7,—
S44,2011,8,27,3,24.9,—,23,89,316,2.7,—
S44,2011,8,27,4,24.8,—,22.9,89,321,2.4,—
S44,2011,8,27,5,24.7,—,22.7,88.9,333,1.7,—
S44,2011,8,27,6,24.7,—,22.8,89.3,344,1.3,—
S44,2011,8,27,7,24.4,—,22.8,90.7,359,1.1,—
S44,2011,8,27,8,24.3,—,22.6,90.5,128,1,—
S44,2011,8,27,9,24.3,—,23,92.9,28,1,—
S44,2011,8,27,10,24.5,—,23.2,92.6,13,1.2,—
S44,2011,8,27,11,25.5,—,23.7,89.6,27,1,—
S44,2011,8,27,12,25.4,—,23.6,89.3,322,1.2,—
S44,2011,8,27,13,24.3,—,22.9,92.1,312,2.8,—
S44,2011,8,27,14,25.2,—,22.5,84.6,313,2.8,—
S44,2011,8,27,15,26.1,—,22.5,80.4,254,1.6,—
S44,2011,8,27,16,25,—,22.8,87.5,218,4.2,—
S44,2011,8,27,17,24.9,—,22.3,85.5,213,3.6,—
S44,2011,8,27,18,24.8,—,21.8,83.2,200,1.7,—
S44,2011,8,27,19,24.8,—,21.6,82.4,192,1.5,—
S44,2011,8,27,20,24.8,—,22.3,86.1,184,1.4,—
S44,2011,8,27,21,25.2,—,21.8,81.6,196,1.3,—
S44,2011,8,27,22,25.7,—,20.6,73.5,195,1.9,—
S44,2011,8,27,23,25.9,—,20.7,73.1,144,0.8,—
S44,2011,8,27,24,25.4,—,21.6,79.2,317,1.6,—
S44,2011,8,28,1,26.1,—,21.2,74.6,220,1.9,—
S44,2011,8,28,2,26,—,21.6,77,245,1,—
S44,2011,8,28,3,25.6,—,21.7,79.5,137,0.8,—
S44,2011,8,28,4,25.8,—,22.2,80.8,118,1.5,—
S44,2011,8,28,5,26.1,—,22.7,81.7,129,1.9,—
S44,2011,8,28,6,26,—,22.9,83.4,124,1.6,—
S44,2011,8,28,7,25.9,—,23,83.8,124,1.4,—
S44,2011,8,28,8,26.2,—,23.1,83.1,127,1.3,—
S44,2011,8,28,9,27.2,—,22.7,76.6,122,2.3,—
S44,2011,8,28,10,27.7,—,22.1,71.3,128,2.5,—
S44,2011,8,28,11,28.9,—,21.7,65.2,117,2.4,—
S44,2011,8,28,12,29.7,—,21.8,62.7,119,1.9,—
S44,2011,8,28,13,29.6,—,21.4,61.5,121,2.4,—
S44,2011,8,28,14,29.7,—,22.7,66,131,2.4,—
S44,2011,8,28,15,30.1,—,22.2,63,157,1.5,—
S44,2011,8,28,16,30,—,21.5,60.2,186,1.4,—
S44,2011,8,28,17,29.4,—,21.1,61,200,2,—
S44,2011,8,28,18,29,—,22.1,66.5,190,1.3,—
S44,2011,8,28,19,28.7,—,21.7,65.9,165,1.1,—
S44,2011,8,28,20,28.4,—,22.1,68.8,147,1.1,—
S44,2011,8,28,21,28.1,—,22.2,70.1,148,1.3,—
S44,2011,8,28,22,27.6,—,23.7,79.2,151,1.4,—
S44,2011,8,28,23,27.4,—,22.9,76.6,127,1.8,—
S44,2011,8,28,24,27.4,—,22.8,76.4,124,2,—
S44,2011,8,29,1,27.3,—,22.8,76.5,126,1.8,—
S44,2011,8,29,2,27.1,—,23.1,78.8,123,1.5,—
S44,2011,8,29,3,26.9,—,23.3,80.7,127,1.4,—
S44,2011,8,29,4,26.8,—,23.4,82,135,0.8,—
S44,2011,8,29,5,26.8,—,23.6,82.6,192,0.8,—
S44,2011,8,29,6,26.9,—,23.6,82.3,170,0.5,—
S44,2011,8,29,7,26.5,—,23.6,84.2,6,0.9,—
S44,2011,8,29,8,24.8,—,22.4,86.7,316,2.5,—
S44,2011,8,29,9,22.8,—,21.7,93.9,283,4.5,—
S44,2011,8,29,10,22.9,—,21.3,90.5,227,3.4,—
S44,2011,8,29,11,24,—,22.5,91,229,2,—
S44,2011,8,29,12,25.4,—,23.2,87.3,241,0.9,—
S44,2011,8,29,13,25.8,—,23.1,84.9,311,1.4,—
S44,2011,8,29,14,27.5,—,22.5,74.3,301,1.3,—
S44,2011,8,29,15,27.5,—,22.4,73.6,255,1.2,—
S44,2011,8,29,16,26.7,—,22.6,78.2,237,1.6,—
S44,2011,8,29,17,26.4,—,23.2,82.6,277,1,—
S44,2011,8,29,18,26.3,—,22.9,81.3,265,0.7,—
S44,2011,8,29,19,26,—,23.2,84.4,319,1.5,—
S44,2011,8,29,20,26,—,22.8,82.6,289,0.9,—
S44,2011,8,29,21,26.2,—,22.6,80.7,250,0.6,—
S44,2011,8,29,22,26.2,—,22.7,81,239,0.8,—
S44,2011,8,29,23,25.9,—,22.9,83.6,326,1,—
S44,2011,8,29,24,25.8,—,23.5,87.1,28,1.3,—
S44,2011,8,30,1,25.6,—,23.4,87.5,28,1.3,—
S44,2011,8,30,2,25.4,—,23.3,88,36,1.3,—
S44,2011,8,30,3,25.6,—,23.2,86.8,38,2,—
S44,2011,8,30,4,25.3,—,23.5,89.9,25,1.6,—
S44,2011,8,30,5,25.2,—,23.6,91.1,28,1.2,—
S44,2011,8,30,6,25.1,—,23.9,92.7,1,1,—
S44,2011,8,30,7,25.1,—,23.9,93.4,15,1.5,—
S44,2011,8,30,8,25.2,—,23.8,91.7,16,1.5,—
S44,2011,8,30,9,27.4,—,24,81.5,1,0.8,—
S44,2011,8,30,10,28.8,—,22.7,69.6,129,1.8,—
S44,2011,8,30,11,28.7,—,23.1,71.8,131,2.5,—
S44,2011,8,30,12,29.2,—,22.9,68.6,134,2,—
S44,2011,8,30,13,29.5,—,22.5,66,136,1.4,—
S44,2011,8,30,14,29.4,—,23.1,68.8,142,1.7,—
S44,2011,8,30,15,29.2,—,23.4,70.9,122,2.4,—
S44,2011,8,30,16,28.5,—,22.9,71.8,171,2,—
S44,2011,8,30,17,27.2,—,22.9,77.5,128,2.1,—
S44,2011,8,30,18,26.9,—,23.2,80.3,123,2.2,—
S44,2011,8,30,19,26.7,—,23.2,81.3,120,2.7,—
S44,2011,8,30,20,26.1,—,23.6,85.7,112,1.8,—
S44,2011,8,30,21,25.8,—,23.5,87,101,1.4,—
S44,2011,8,30,22,25.6,—,22.8,84.6,75,1.1,—
S44,2011,8,30,23,25.3,—,23.1,87.4,58,1.1,—
S44,2011,8,30,24,25.4,—,23,86.8,49,1,—
S44,2011,8,31,1,25.1,—,23.1,88.5,41,1.6,—
S44,2011,8,31,2,25.1,—,23.2,89.6,29,1.5,—
S44,2011,8,31,3,24.8,—,23.2,90.9,26,1,—
S44,2011,8,31,4,24.4,—,23.4,93.7,21,1.2,—
S44,2011,8,31,5,24.8,—,23.1,90.4,37,1.5,—
S44,2011,8,31,6,24.7,—,23.4,92.5,32,2,—
S44,2011,8,31,7,24.7,—,23.3,92.1,29,2,—
S44,2011,8,31,8,24.8,—,23.3,91.2,15,1.8,—
S44,2011,8,31,9,26,—,23.8,87.5,340,1.1,—
S44,2011,8,31,10,26.9,—,24.3,85.8,351,0.9,—
S44,2011,8,31,11,28.8,—,23.6,73.4,334,0.9,—
S44,2011,8,31,12,29.6,—,23.1,68.2,138,1.8,—
S44,2011,8,31,13,30,—,22.7,64.7,156,1.3,—
S44,2011,8,31,14,30.2,—,22.1,62.1,135,1.5,—
S44,2011,8,31,15,31.1,—,21.6,57.4,161,1.4,—
S44,2011,8,31,16,31,—,21.2,55.9,136,1.8,—
S44,2011,8,31,17,31.3,—,21.3,55.6,141,2,—
S44,2011,8,31,18,30.1,—,21.7,61.1,139,1.7,—
S44,2011,8,31,19,29.4,—,22.2,65.3,128,2.5,—
S44,2011,8,31,20,28.9,—,22.7,69.5,128,2.1,—
S44,2011,8,31,21,28.6,—,22.7,70.4,122,2.3,—
S44,2011,8,31,22,28.3,—,22.9,72.6,124,2.5,—
S44,2011,8,31,23,28.2,—,23.3,74.8,125,1.5,—
S44,2011,8,31,24,28.1,—,22.1,69.9,128,1.4,—
S44,2011,9,1,1,27.9,—,22.1,70.8,136,1,—
S44,2011,9,1,2,27.7,—,22,70.9,121,2.2,—
S44,2011,9,1,3,26.6,—,22.1,76.3,25,1,—
S44,2011,9,1,4,26.9,—,22.4,76.2,341,1,—
S44,2011,9,1,5,26.1,—,23,83.2,13,1,—
S44,2011,9,1,6,25.5,—,23.1,86.6,25,2,—
S44,2011,9,1,7,25.7,—,22.9,84.6,3,1.4,—
S44,2011,9,1,8,26.7,—,23.6,83,65,1.1,—
S44,2011,9,1,9,27.8,—,23.8,78.5,135,1.2,—
S44,2011,9,1,10,28.8,—,22.3,68.1,128,2.1,—
S44,2011,9,1,11,29.6,—,23.3,68.9,127,2.6,—
S44,2011,9,1,12,30.4,—,23.2,65.7,130,2.7,—
S44,2011,9,1,13,30.7,—,22.9,63.1,131,3.1,—
S44,2011,9,1,14,30.9,—,22,59.2,165,2.6,—
S44,2011,9,1,15,30.9,—,21.7,57.9,190,1.9,—
S44,2011,9,1,16,29.9,—,22,62.9,167,1.9,—
S44,2011,9,1,17,31,—,21.4,56.7,192,1.6,—
S44,2011,9,1,18,29.8,—,22.2,63.6,170,1.6,—
S44,2011,9,1,19,29.4,—,22.1,64.9,178,1.7,—
S44,2011,9,1,20,28.9,—,22.7,69.3,155,1.5,—
S44,2011,9,1,21,28.4,—,23.5,74.6,126,3,—
S44,2011,9,1,22,28.2,—,22.3,70.6,125,2.3,—
S44,2011,9,1,23,28,—,22.5,72,122,2.5,—
S44,2011,9,1,24,27.5,—,23,76.6,92,1.5,—
S44,2011,9,2,1,27.5,—,23,76.6,110,2.3,—
S44,2011,9,2,2,27.4,—,22.8,76,127,1.5,—
S44,2011,9,2,3,27.1,—,22.9,77.8,125,1.7,—
S44,2011,9,2,4,27,—,23.2,79.8,89,1.7,—
S44,2011,9,2,5,26.7,—,23.1,80.7,115,2,—
S44,2011,9,2,6,26.6,—,23.2,81.7,90,1.2,—
S44,2011,9,2,7,26.2,—,22.9,82.2,16,1.2,—
S44,2011,9,2,8,26.9,—,23.4,81.2,50,1.3,—
S44,2011,9,2,9,28.2,—,23.5,75.7,128,2.1,—
